Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Number of Investments,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Number of Portfolio Organizations,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Price (in USD),Announced Date,Money Raised at IPO (in USD),IPO Status,Last Layoff Mention Date,Growth Category,Last Leadership Hiring Date,IPO Date,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Money_Raised_at_IPO / Total_Equity_Funding,Total funding amount / number of employees,Numeric revenue range / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),Numeric revenue amount / total number of employees * (IPO - founded date),ind_update,narrowed_industry,Predicted IPO Status,success
monday.com,https://www.crunchbase.com/organization/mondaydotcom,$500M to $1B,"Collaboration, CRM, Developer Tools, Marketing, Project Management, SaaS, Task Management",55,Monday.com is a work operating system where organizations of any size can create processes to manage every aspect of their work.,Active,2012,For Profit,2021,https://twitter.com/mondaydotcom,220,Exited Unicorn,,https://www.linkedin.com/company/monday.com,,https://www.facebook.com/mondaydotcom,,,support@monday.com,,,"Tel Aviv, Tel Aviv, Israel",,"The monday.com Work OS is an open platform that democratizes the power of software so organizations can easily build work management tools and software applications to fit their every need. The platform intuitively connects people to processes and systems, empowering teams to excel in every aspect of their work while creating an environment of transparency in business. monday.com has teams in Tel Aviv, New York, San Francisco, Miami, Chicago, London, Kiev, Warsaw, Sydney, São Paulo, and Tokyo. The platform is fully customizable to suit any business vertical and is currently used by over 152,000 customers across over 200 industries in 200 countries.",,https://monday.com,,"Administrative Services, Information Technology, Other, Sales and Marketing, Software",,Post-IPO Equity,3001,IPO,2,2021,Post-IPO Equity,8,7500000000,150000000,150000000,384100000,384100000,,7,,,,,,,574000000,1,,Growing,,2021,750000000,9,9,0,50,50,19.52616506,19.52616506,3.826666667,3.826666667,1.494402499,1.494402499,127990.6698,249916.6944,49983.33889,16666666.67,42677777.78,0.888888889,27768.5216,"Task Management, SaaS, Project Management",Technology & Software,1,yes
Yonder,https://www.crunchbase.com/organization/popily,Less than $1M,"Information Services, Information Technology, Internet",28531,Yonder is an authentic internet company that helps its users understand the cultural context behind information online.,Closed,2015,For Profit,2022,https://twitter.com/yonderai,17,,,https://www.linkedin.com/company/yonderai/,,https://www.facebook.com/therealyonder/,,,info@newknowledge.io,,,"Austin, Texas, United States",,"Yonder is defining the authentic internet category. We believe in the internet and are still sold on its promise to democratize the flow of information. Our mission is to add cultural context to every piece of information as it moves across the internet. Without that context, information is dehumanized. This leads to fake accounts, fake news, and disinformation. We do not want to live in a world of information gatekeeping, mistrust, and close mindedness.",,https://www.yonder-ai.com,,"Information Technology, Internet Services",,Series A,76,M&A,1,2019,Series A,6,,3000000,3000000,16018000,16118000,Was Acquired,6,Primer,https://www.crunchbase.com/organization/primer-7cbe,,Acquisition,,2022,,0,,,,,500000,,7,,,,,,,,,,212078.9474,6578.947368,39473.68421,,,,,"Information Services, Information Technology, Internet",Technology & Software,0,no
HUMBL,https://www.crunchbase.com/organization/humbl,$1B to $10B,"Financial Services, FinTech, Mobile Payments, Software",14085,HUMBL provides merchant services software which is being developed to accommodate the migration by governments to digital forms.,Active,2019,For Profit,2020,https://twitter.com/humblpay,39,,,https://www.linkedin.com/company/humbl-llc,,https://www.facebook.com/HUMBLinc,,1,social@humblpay.com,,,"San Diego, California, United States",,"HUMBL provides merchant services software that is being developed to accommodate the migration by governments to digital forms of their national currency, as well as key functions like cross-border remittance, foreign exchange, bill payment, and lending products from smartphones.",,https://www.humblpay.com,,"Financial Services, Mobile, Payments, Software",,Post-IPO Equity,,IPO,3,2023,Post-IPO Equity,3,,20000000,20000000,20000000,20100000,Made Acquisitions,2,,,4,,,,,1,,,,2020,5500000000,1,1,-3,,,,,,,,,,,,20000000,20100000,3,,"Software, Financial Services, Mobile Payments",Technology & Software,1,yes
Appetize,https://www.crunchbase.com/organization/appetize,$10M to $50M,"Apps, Events, Information Technology, Mobile, Software",12689,"Appetize develops point-of-sale and payment systems for entertainment, leisure and education enterprise businesses around the world.",Closed,2011,For Profit,2023,https://twitter.com/appetizepos,33,,,https://www.linkedin.com/company/appetize-technologies-inc-,,https://www.facebook.com/AppetizePOS/,,,info@appetizeapp.com,,,"Los Angeles, California, United States",+1 877 559-4225,"Appetize is the most powerful payment platform for live events and sports. Deployed in over 700 venues worldwide with clients like Madison Square Garden and Lincoln Financial Field to Bonnaroo and Governors Ball, Appetize has the most robust and reliable mobile Point of Sale solution on the markets.",,https://appetize.com,,"Apps, Events, Information Technology, Media and Entertainment, Mobile, Software",,Series B,376,M&A,3,2018,Series B,5,,10000000,10000000,50120000,50120000,Was Acquired,2,Shift4 Payments,https://www.crunchbase.com/organization/shift4-payments,,Acquisition,100000000,2023,,0,,,,,30000000,,12,,,,,,,,,,133297.8723,79787.23404,26595.74468,,,,,"Software, Mobile, Information Technology",Technology & Software,0,no
Weipinhui,https://www.crunchbase.com/organization/vipshop,$10B+,"Customer Service, E-Commerce, Fashion, Retail, Shopping",7223,Weipinhui is a Chinese online discount retailer for brands.,Active,2008,For Profit,2012,https://twitter.com/vipshopofficial,35,,6,http://www.linkedin.com/company/guangzhou-vipshop-information-technology-co-ltd,,https://www.facebook.com/vipshopofficial/,,,global@vipshop.com,,9,"Guangzhou, Guangdong, China",86 20 2233 0000,"Weipinhui (formerly Vipshop) is a Chinese online discount retailer for brands. The company offers quality branded products to consumers throughout China at a significant discount from retail prices. Weipinhui has successfully created and proven that there is a third e-commerce model that can provide tremendous scale and profitability. By providing special offers and large discounts on branded products, the company has pioneered the online discount retail model in China. Weipinhui has approximately 4.9 million cumulative customers and partnerships with over 5,800 domestic and international brands. Weipinhui was founded in August 2008. The company raised $50 million in Series B from DCM and Sequoia Capital after securing 20 million in its Series A. On March 23, the company raised USD 72.64 million through its IPO.",1,http://www.vipshop.com,7,"Clothing and Apparel, Commerce and Shopping, Design, Other, Professional Services",1,Post-IPO Equity,7501,IPO,2,2017,Post-IPO Equity,4,657300000,863000000,863000000,933430000,933430000,Made Acquisitions,4,,,1,,,,71500000,1,,,,2012,10000000000,4,4,-5,0.761645423,0.761645423,0.704177067,0.704177067,0.082850521,0.082850521,0.076599209,0.076599209,124440.7412,1333155.579,115051.3265,215750000,233357500,1,333288.8948,"Shopping, Retail, Fashion",Technology & Software,1,yes
Meemo,https://www.crunchbase.com/organization/fingo-5365,$1M to $10M,"Apps, Artificial Intelligence (AI), FinTech",13311,Meemo is an AI-powered social finance app that lets users receive personal rewards based on recent activity and transfer money to friends.,Closed,2019,For Profit,,http://www.twitter.com/getmeemo,2,,,https://www.linkedin.com/company/getmeemo,,http://www.facebook.com/getmeemo,,,support@meemo.ai,,,"San Francisco, California, United States",+1 903-833-4646,"Meemo is a FinTech company providing an app used to send and receive money to friends and family, and delighting users with automatic personal rewards based on their recent activity. This includes personalized offers and shopping deals, Weekly Review stories, nostalgic and useful transaction-based notifications, and more. The app is a secure, AI-powered social finance app where your digital wallet meets your everyday life with automatic rewards, and users can transfer 'money with intention' to one another. The system ensures that the user's received meemos (an earmarked money transfer similar to a gift card) are automatically applied without ever expiring, being lost, or forgotten. The app can also be used to search and sort through accounts and transactions, and enjoy shareable insights uncovered by meemo's powerful AI. André Madeira, Ranveer Kunal, Robson Araújo, and Wisam Dakka established the San Francisco, California-based company in 2019.",,https://www.meemo.ai,,"Apps, Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,Seed,6,Seed,4,2020,Seed,1,,10000000,10000000,10000000,10000000,,4,,,,,,,,0,,,,,5500000,,,,,,,,,,,,1666666.667,916666.6667,1666666.667,,,,,"Apps, Artificial Intelligence (AI), FinTech",Technology & Software,0,no
PROCEPT BioRobotics,https://www.crunchbase.com/organization/procept-biorobotics,$100M to $500M,"Health Care, Manufacturing, Medical Device, Robotics",4116,PROCEPT BioRobotics is a surgical robotics company that develops water-based robotic systems for prostate surgery.,Active,2007,For Profit,2021,https://twitter.com/PROCEPTRobotics,59,,,https://www.linkedin.com/company/procept-corporation,,https://www.facebook.com/PROCEPTBioRobotics,,,info@procept-biorobotics.com,,,"Redwood Shores, California, United States",650-232-7200,"PROCEPT is a commercial-stage surgical robotics company focused on advancing patient care by developing transformative solutions in urology. PROCEPT develops, manufactures and sells the AquaBeam Robotic System, an advanced, image-guided, surgical robotic system for use in minimally-invasive urologic surgery with an initial focus on treating benign prostatic hyperplasia, or BPH. BPH is the most common prostate disease and impacts approximately 40 million men in the United States. PROCEPT designed Aquablation therapy to deliver effective, safe and durable outcomes for males suffering from lower urinary tract symptoms, or LUTS, due to BPH that are independent of prostate size and shape or surgeon experience. PROCEPT has developed a significant and growing body of clinical evidence, which includes nine clinical studies and over 100 peer-reviewed publications, supporting the benefits and clinical advantages of Aquablation therapy.",,http://procept-biorobotics.com,,"Hardware, Health Care, Manufacturing, Science and Engineering, Software",,Post-IPO Equity,376,IPO,2,2023,Post-IPO Equity,11,1056000000,150000000,150000000,478000000,645335250,,4,,,,,,,163900000,1,,Growing,2020,2021,300000000,14,14,-2,7.04,7.04,1.636358776,2.209205021,1.092666667,1.092666667,0.253976518,0.342887029,1716317.154,797872.3404,398936.1702,10714285.71,46095375,0.785714286,56990.88146,"Robotics, Medical Device, Manufacturing",Technology & Software,1,yes
Azerion,https://www.crunchbase.com/organization/azerion,$500M to $1B,Media and Entertainment,4410,"Azerion is a media- and technology company that provides safe, reliable and valuable content on a European scale with local presence.",Active,2014,For Profit,2022,,70,,1,https://www.linkedin.com/company/azerion-one/about/?viewAsMember=true,,,,,info@azerion.com,,1,"Schiphol, Noord-Holland, The Netherlands",,"Azerion is a media- and technology company that provides safe, reliable and valuable content on a European scale with local presence.",1,http://www.azerion.com/,1,Media and Entertainment,1,Post-IPO Debt,3001,IPO,1,2024,Post-IPO Equity,5,,16254858,10584677,10584677,217503567,Made Acquisitions,1,,,17,,,,,1,,Growing,,2022,750000000,8,8,-2,,,,,,,,,72477.02999,249916.6944,5416.480506,2031857.25,27187945.88,0.625,31239.5868,Media and Entertainment,Technology & Software,1,yes
Veritone,https://www.crunchbase.com/organization/veritone,$100M to $500M,"Artificial Intelligence (AI), Asset Management, CivicTech, GovTech, Information Technology, Machine Learning, Search Engine, Speech Recognition, Visual Search",2192,Veritone has created a future-proof AI platform that comprehends and transforms multiple forms of data to create actionable intelligence.,Active,2014,For Profit,2017,https://twitter.com/veritoneinc,189,,,https://www.linkedin.com/company/veritone-inc-,,http://www.facebook.com/VeritoneInc,,,info@veritone.com,,,"Irvine, California, United States",888-507-1737,"Veritone is an artificial intelligence (AI) solution, serving organizations in both commercial and regulated sectors, and industry applications simplify data management, empowering the largest and most recognizable brands in the world to run more efficiently, accelerate decision making and increase profitability.",,https://www.veritone.com,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Government and Military, Information Technology, Internet Services, Science and Engineering, Software",,Grant,751,IPO,2,2023,Post-IPO Equity,7,208050000,3900000,63825000,137625000,392775000,Made Acquisitions,2,,,7,,,,37500000,1,,,2020,2017,300000000,3,3,-6,53.34615385,3.259694477,0.529692572,1.511716621,9.615384615,0.587544066,0.095474508,0.272479564,523002.6631,399467.3768,5193.075899,1300000,130925000,2.333333333,133155.7923,"Artificial Intelligence (AI), Visual Search, Speech Recognition",Technology & Software,1,yes
Fastly,https://www.crunchbase.com/organization/fastly,$10M to $50M,"Cloud Data Services, Cloud Infrastructure, Cloud Security, Content Delivery Network, Enterprise Software, Security, Software",747,Fastly helps digital businesses keep pace with their customer expectations by delivering secure and online experiences.,Active,2011,For Profit,2019,http://twitter.com/Fastly,477,,,http://www.linkedin.com/company/fastly,,https://www.facebook.com/FastlyEdgeCloud,,,sales@fastly.com,,,"San Francisco, California, United States",,"Fastly helps the world’s most popular digital businesses keep pace with their customer expectations by delivering fast, secure, and scalable online experiences. Businesses trust the Fastly edge cloud platform to accelerate the pace of technical innovation, mitigate evolving threats, and scale on demand. The company's edge cloud platform enables the best of the web to thrive and helps to deliver better online experiences. It was founded in 2011 and headquartered in San Francisco, California.",,http://www.fastly.com,,"Content and Publishing, Hardware, Information Technology, Internet Services, Privacy and Security, Software",,Series F,3001,IPO,2,2018,Series F,7,1451000000,40000000,40000000,219000000,219000000,Made Acquisitions,7,,,5,,,,180000000,1,,,2024,2019,30000000,8,8,1,36.275,36.275,6.625570776,6.625570776,4.5,4.5,0.821917808,0.821917808,72975.67478,9996.667777,13328.89037,5000000,27375000,0.875,1249.583472,"Software, Security, Enterprise Software",Technology & Software,1,yes
FATHOM,https://www.crunchbase.com/organization/fathom,$10M to $50M,"3D Printing, Manufacturing, Web Design, Web Development, Web Hosting",7304,FATHOM is changing the way products are being designed and manufactured by helping designers and engineers make the unmakeable.,Active,2008,For Profit,2021,https://twitter.com/studiofathom,6,,,https://www.linkedin.com/company/studio-fathom?trk=tabs_biz_home,,https://www.facebook.com/studiofathom,,,elizabeth@studiofathom.com,,,"Oakland, California, United States",+1 510-281-9000,"FATHOM is an advanced technology driven company with an expertise in 3D printing and additive manufacturing. FATHOM is driven by advanced technologies. They leverage their expertise in 3D printing and additive manufacturing to help customers innovate faster and more efficiently. Their portfolio includes professional 3D printers and manufacturing systems, prototyping and advanced manufacturing services, with design and engineering resources in support of these. FATHOM advanced prototyping services feature RTV / silicone molding / cast urethane, low volume CNC machining, injection molding, and more. They strive to be your preferred partner by providing best-in-class equipment, services, and support.",,https://www.fathommfg.com/,,"Design, Internet Services, Manufacturing, Software",,Post-IPO Equity,751,M&A,,2021,Post-IPO Equity,1,1500000000,80000000,80000000,80000000,80000000,"Made Acquisitions, Was Acquired",1,Core Industrial Partners,https://www.crunchbase.com/organization/core-industrial-partners,2,Acquisition,,2024,345000000,1,,,2023,2021,30000000,13,13,0,18.75,18.75,18.75,18.75,4.3125,4.3125,4.3125,4.3125,106524.6338,39946.73768,106524.6338,6153846.154,6153846.154,0.076923077,3072.825976,"Web Hosting, Web Development, Web Design",Technology & Software,1,yes
Bracket Computing,https://www.crunchbase.com/organization/bracket-computing,Less than $1M,"Computer, Information Technology, Software",35114,"Bracket Computing was founded in 2011 with the goal of delivering enterprise computing driven by business needs, not hardware limitations.",Closed,2011,For Profit,2018,http://twitter.com/brkt,30,,,http://www.linkedin.com/company/3357442,,https://www.facebook.com/BracketComputing/,,,info@brkt.com,,,"Mountain View, California, United States",408-469-4500,"Bracket Computing is an early stage stealth technology company located in Silicon Valley. At Bracket, we are re-imagining enterprise computing—not as an incremental extension of what is today, but as radical innovation moving beyond what currently is.",,http://www.brkt.com,,"Consumer Electronics, Hardware, Information Technology, Software",,Series C,76,M&A,3,2015,Series C,3,,46400000,46400000,131700000,131700000,Was Acquired,,VMware,https://www.crunchbase.com/organization/vmware,,Acquisition,,2018,,0,,,,,500000,,7,,,,,,,,,,1732894.737,6578.947368,610526.3158,,,,,"Computer, Information Technology, Software",Technology & Software,0,no
Nines,https://www.crunchbase.com/organization/nines-855d,,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Life Science, Machine Learning",43779,Nines is the first-of-its-kind radiology practice. Radiologists + Data Scientists + Engineers. Trusted partner.,Closed,2017,For Profit,2022,https://twitter.com/NinesRadiology,7,,,https://www.linkedin.com/company/ninesai/,,,,,,,,"Palo Alto, California, United States",,Nines is the first-of-its-kind teleradiology practice. Our radiologists and engineers are on a mission to build world-class tools in-house to enable the best radiologists to deliver the best patient care.,,https://www.nines.com,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,Series B,31,M&A,2,2020,Series B,3,,17000000,17000000,34500000,34500000,Was Acquired,2,Sirona Medical,https://www.crunchbase.com/organization/sirona-medical,,Acquisition,,2022,,0,,,,,,,5,,,,,,,,,,1112903.226,,548387.0968,,,,,"Machine Learning, Life Science, Health Diagnostics",Technology & Software,0,no
BabelBark,https://www.crunchbase.com/organization/babelbark,$1M to $10M,"E-Commerce, Pet, Software, Veterinary",43519,"BabelBark is a mobile app and software platform that connects pet parents, pet vendors, and veterinarians in one ecosystem.",Closed,2015,For Profit,,https://twitter.com/BabelBark,21,,,https://www.linkedin.com/company/babelbark,,https://www.facebook.com/babelbark,,,info@babelbark.com,,,"Newton, Massachusetts, United States",+1 (206) 707-2454,"BabelBark brings together all the services available and collectively addresses the needs of pets, pet parents, independent veterinarians, and regional vendors with a comprehensive and completely integrated platform. BabelBark helps pet parents manage their pet’s unique needs and offers pet businesses an unprecedented opportunity to connect with customers and grow their companies. No other solution on the market incorporates all of these connections. It is easy to use, provides veterinarians unparalleled insight into the lives of their patients between visits, solves huge pain points with low cost of entry for businesses to automate and improve scheduling, contact management, and marketing, and an extensive membership program that includes products and services from BabelBark partners integrated directly into the app. It was founded in 2015 and is headquartered in Newton, Massachusetts.",,http://www.babelbark.com/,,"Commerce and Shopping, Community and Lifestyle, Health Care, Software",,Venture - Series Unknown,6,,2,2019,Venture - Series Unknown,4,,3370945,3370945,9147600,9147600,,,,,,,,,,0,,,,,5500000,,,,,,,,,,,,1524600,916666.6667,561824.1667,,,,,"Pet, Software, Veterinary",Technology & Software,0,no
Lucid,https://www.crunchbase.com/organization/lucid-design-group,$50M to $100M,"Analytics, Big Data, Data Visualization, Energy Efficiency, Energy Management, Enterprise Software, Internet of Things, SaaS, Software",46287,Lucid's BuildingOS provides business intelligence platform for building portfolio operations.,Closed,2004,For Profit,2018,https://twitter.com/lucidconnects,72,,,http://www.linkedin.com/company/lucid-design-group,,http://www.facebook.com/luciddesigngroup,,,info@lucidconnects.com,,,"Oakland, California, United States",(510) 907-0400,"Lucid provides a platform to centralize commercial building data and make data-driven decisions to improve building efficiency and portfolio performance. Lucid's SaaS-based BuildingOS platform has over 500 customers, 13,000 buildings, and nearly 1.5 billion square feet under management and empowers teams across finance, operations, and sustainability to collaborate to get the best from their buildings.  Lucid’s software is used by the world’s leading companies and institutions to manage thousands of buildings with $500 million in annual energy bills. Based in Oakland, California, Lucid is a privately held software company.",,http://www.lucidconnects.com,,"Data and Analytics, Design, Energy, Information Technology, Internet Services, Software, Sustainability",,Series B,76,M&A,2,2015,Series B,5,,15678859,15678859,17178859,33007718,Was Acquired,1,Acuity Brands,https://www.crunchbase.com/organization/acuity-brands,,Acquisition,,2018,,0,,,,,75000000,,14,,,,,,,,,,434312.0789,986842.1053,206300.7763,,,,,"Software, SaaS, Internet of Things",Technology & Software,0,no
Apptio,https://www.crunchbase.com/organization/apptio,$100M to $500M,"Analytics, Business Process Automation (BPA), Enterprise Software, Information Technology, SaaS, Software",896,Apptio is a provider of SaaS-based Technology Business Management (TBM) solutions for managing businesses in the IT field.,Active,2007,For Profit,2016,http://twitter.com/apptio,453,,,http://www.linkedin.com/company/apptio,,http://www.facebook.com/Apptio,,,info@apptio.com,,,"Bellevue, Washington, United States",(866) 470-0320,"Apptio is the leading provider of cloud-based Technology Business Management (TBM) software that helps CIOs manage the business of IT. Apptio’s suite of applications use business analytics to provide facts and insights about technology cost, value, and quality, so IT leaders can make faster, data-driven decisions. The purpose-built applications help companies align technology spend to business outcomes and automate IT processes like cost transparency, benchmarking, showback/chargeback, operational efficiency, and planning. Powering Apptio’s applications is a next generation, in-memory cost analytics platform that takes data directly from all financial, operational, and billing systems, and powers applications that give customers deep insight.",,http://www.apptio.com,,"Data and Analytics, Information Technology, Software",,Post-IPO Debt,751,M&A,3,2018,Series E,8,872000000,125000000,45000000,136000000,261000000,"Made Acquisitions, Was Acquired",8,IBM,https://www.crunchbase.com/organization/ibm,6,Acquisition,4600000000,2023,96000000,1,,Growing,2023,2016,300000000,9,9,-2,6.976,19.37777778,3.340996169,6.411764706,0.768,2.133333333,0.367816092,0.705882353,347536.6178,399467.3768,166444.7403,13888888.89,29000000,0.888888889,44385.26409,"SaaS, Information Technology, Business Process Automation (BPA)",Technology & Software,1,yes
Exscientia,https://www.crunchbase.com/organization/exscientia,$10M to $50M,"Artificial Intelligence (AI), Biotechnology, Health Care, Pharmaceutical",834,Exscientia is a pharmatech company that uses an end-to-end AI platform to design and discover new drugs.,Active,2012,For Profit,2021,https://www.twitter.com/exscientialtd,158,,,https://www.linkedin.com/company/ex-scientia,,,,,contact@exscientia.co.uk,,,"Oxford, Oxfordshire, United Kingdom",-820762,"Exscientia is applying AI and big data processing to accelerate drug discovery and development.  At the forefront of small molecule drug discovery. They are the first company to automate drug design, surpassing conventional human endeavor. Their AI-driven systems actively learn best practice from vast repositories of discovery data and are further enhanced with knowledge acquired from seasoned drug hunters. With better information to hand than any researcher could acquire individually, their knowledge-driven systems design millions of novel, project-specific compounds and pre-assess each for predicted potency, selectivity, ADME and other key criteria. From this, a selection of the best, information-rich compounds are selected for synthesis and assay. With new experimental data generated, the results are integrated and the next design cycle initiated. Rapid design-make-test cycles ensure unparalleled progress towards desired project goals. Exscientia has already delivered exceptional productivity, generating candidates in roughly one-quarter of the time of traditional approaches.",,https://www.exscientia.ai,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,Grant,376,IPO,1,2023,Series D,9,2602822794,2300000,225000000,368671987,376671987,Made Acquisitions,6,,,2,,,,304700000,1,2024,Growing,2023,2021,30000000,9,9,-2,1131.662084,11.56810131,6.910051408,7.05999611,132.4782609,1.354222222,0.808926627,0.826479935,1001787.199,79787.23404,6117.021277,255555.5556,41852443,1,8865.248227,"Artificial Intelligence (AI), Pharmaceutical, Health Care",Technology & Software,1,yes
Unsilo,https://www.crunchbase.com/organization/unsilo,$1M to $10M,"Analytics, Education, Information Technology, Internet, Natural Language Processing, Search Engine, Software",32265,UNSILO is an online service offering tools that help researchers and IP professionals search patents and academic papers.,Closed,2012,For Profit,2020,http://twitter.com/unsiloproduct,7,,,http://www.linkedin.com/company/unsilo,,http://www.facebook.com/unsilo,,,tmrl@unsilo.com,,,"Aarhus, Midtjylland, Denmark",45 24 63 04 58,"Unsilo is a collaborative search and discovery platform that helps you see patterns across science and innovation. Our sophisticated semantic-based search engine breaks down silos of information and makes it easy and fast to find relevant knowledge across different content sources hidden in domain-specific terminology. Searching with Unsilo, you'll find thousands of relevant articles, reports and presentations across different industries and scientific fields. Differently from traditional search tools we don’t just present you with an endless list of links. Instead, we cluster your search results into groups of documents, which share a similar approach or solution strategy. This facilitates the discovery of relevant insights from unexpected sources. Your results are visualized based on your personal workflow preferences, and we make it simple for you to share your process with colleagues and peers, to facilitate knowledge generation and improve your speed of innovation.",,https://unsilo.ai/,,"Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Internet Services, Software",,Venture - Series Unknown,31,M&A,2,2016,Venture - Series Unknown,3,,2100000,2100000,3100000,3100000,Was Acquired,1,Cactus Communications,https://www.crunchbase.com/organization/cactus,,Acquisition,,2020,,0,,,,,5500000,,8,,,,,,,,,,100000,177419.3548,67741.93548,,,,,"Search Engine, Software, Natural Language Processing",Technology & Software,0,no
RingCentral,https://www.crunchbase.com/organization/ringcentral,$1B to $10B,"Cloud Computing, Collaboration, Enterprise Software, Meeting Software, SaaS, VoIP",648,RingCentral is a provider of enterprise cloud communications and collaboration solutions.,Active,2003,For Profit,2013,http://www.twitter.com/RingCentral,872,,,http://www.linkedin.com/company/ringcentral,Yes,http://www.facebook.com/ringcentral,,1,partners@ringcentral.com,,,"Belmont, California, United States",(888)528-7464,"RingCentral's cloud-based communication and collaboration platform offers a comprehensive set of capabilities that unify voice, business messaging, team collaboration, video conferencing, and online meetings. RingCentral revolutionizes the power of the cloud to help companies across the globe work smarter, radically improving the way businesses partner with customers and co-workers. They offer nimble business communication solutions, used in more than 350,000 organizations worldwide, that rapidly scale as enterprises grow. It’s a capable platform that offers more than VoIP phone service or cloud PBX. They deliver complete unified communications as a service (UCaaS)—the kind of solutions that integrate seamlessly within your current application and framework, without expensive on-premise hardware or hassles. Bridging the divide across multiple devices—including smartphones, tablets, computers, and desk phones—RingCentral solutions provide today’s mobile workforce with the flexible communication tools needed to get the job done right.  RingCentral helps small businesses manage mobile, fax, and e-mail communications. Its core product offering includes RingCentral Office, RingCentral Professional, and RingCentral Internet Fax, with services provided in the US, Canada, and the UK. RingCentral, headquartered in Belmont, CA, is funded by [Sequoia Capital](/financial-organization/sequoia-capital), [Khosla Ventures](/financial-organization/Khosla-ventures), and [DAG](/financial-organization/dag-ventures) and was founded in 2003 by [Vlad Shmunis](/person/vlad-munis). RingCentral Office is a comprehensive Voice over Internet Protocol phone service for small businesses and enterprise companies. This allows customers to connect teams in different locations. RingCentral Office combines a hosted multi-extension business phone system with voice and fax functionality, unlimited calling, and pre-configured phones. This allows businesses to connect teams in different locations. RingCentral Glip provides a single, unified team workspace that empowers customers to work, communicate, and collaborate faster and more effectively than ever before. Emails, scattered discussions, and disjointed resources are drastically reduced as teams share conversations, files, tasks, and calendars. Teams, whether internal or external, can collaborate using their favorite devices anytime, anyplace—all within the Glip team workspace. RingCentral Contact Center is an omnichannel, hosted contact center solution that’s easy to deploy, integrate, and scale. This cloud-based contact center solution connects your business to your customers like never before. Your agents get the data and features needed to deliver professional, effective service, while your customers enjoy better communication and faster response times. RingCentral Professional provides customers with a single local or toll-free number that connects their existing phone lines as virtual extensions. It is equipped with advanced call forwarding and answering rules. Users can also receive calls, transmit faxes and listen to voicemail online through their RingCentral account. RingCentral Fax is an Internet fax product that gives users the ability to send and receive faxes through the Internet, replacing the fax machine. Aside from the ability to transmit documents online, users can also sign and edit their faxes digitally, eliminating the need to print and scan faxes. Users also receive a text and an email message every time a new fax arrives.",,https://www.ringcentral.com,,"Information Technology, Internet Services, Messaging and Telecommunications, Other, Software",,Post-IPO Debt,3001,IPO,3,2023,Post-IPO Equity,10,789724000,400000000,,44000000,453700000,Made Acquisitions,8,,,7,,,,97500000,1,2022,Growing,2023,2013,5500000000,10,10,-10,1.97431,,1.740630372,17.94827273,0.24375,,0.214899713,2.215909091,151182.939,1832722.426,133288.9037,40000000,45370000,1,183272.2426,"Collaboration, Enterprise Software, Cloud Computing",Technology & Software,1,yes
