Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Money Raised at IPO (in USD),IPO Status,Growth Category,IPO Date,Adjusted Valuation According to Inflation,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Total funding amount / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),ind_update,narrowed_industry,success
Horizon Technology Finance,https://www.crunchbase.com/organization/horizon-technology-finance,,"Financial Services, FinTech, Management Consulting, Venture Capital","7,016",Horizon Technology Finance is a specialty finance company offering secured loans to venture-backed companies.,Active,2003,For Profit,2010,,103,,63,https://www.linkedin.com/company/horizon-technology-finance-corporation,,https://www.facebook.com/Horizon-Technology-Finance-341293242550671,Venture Debt,,info@horizontechfinance.com,"Debt, Post-Ipo, Venture","Farmington, Connecticut, United States",(212) 477-8438,"Horizon is a venture lending platform that offers structured debt products to life science and technology companies. Its team of investment and operations professionals has been providing debt capital to some of the most exciting companies for decades. The members of the Horizon team have, collectively, originated and invested more than $5 billion in venture loans to thousands of companies. The company was founded in 2003 and is headquartered in Farmington, Connecticut.",42,https://horizontechfinance.com,"Financial Services, Lending and Investments, Professional Services",42,Post-IPO Equity,,M&A,4,2023,Post-IPO Equity,5,,40625000,40625000,68525000,219775000,Was Acquired,,Monroe Capital,https://www.crunchbase.com/organization/monroe-capital,,Acquisition,,Public,Growing,2010,,,7,7,-13,,,,,,,,,,5803571.429,31396428.57,0.714285714,"Venture Capital, Management Consulting, Financial Services",Financial Services & Fintech,Yes
Fawry,https://www.crunchbase.com/organization/fawry,$10M to $50M,"Banking, Finance, Financial Services, Payments","7,210","Fawry is a pioneering Electronic Payment Network, offering financial services to consumers and businesses",Active,2008,For Profit,2019,https://www.twitter.com/fawrypayments,52,,4,https://www.linkedin.com/company/fawry-banking-and-payment-technology-services/about/,,https://www.facebook.com/fawrypayments,,,info@fawry.com,,"Cairo, Al Qahirah, Egypt",202 2524 3880,"Fawry is a pioneering Electronic Payment Network, offering financial services to consumers and businesses through more than 65 thousand locations and a variety of channels. It offers a convenient and reliable way to pay bills and other services  in multiple channels (online, using ATMs , mobile wallets and retail points) The company's network of retailers includes small groceries, pharmacies and stationaries, and post-offices, all equipped with point-of-sale machines – the same ones used for credit card payments.",,http://fawry.com/,"Financial Services, Lending and Investments, Payments",,Private Equity,376,IPO,2,2019,Private Equity,4,,22000000,22000000,122000000,122000000,,1,,,,,97000000,Public,Growing,2019,,30000000,11,11,0,,,,,4.409090909,4.409090909,0.795081967,324468.0851,58510.6383,2000000,11090909.09,0.363636364,"Financial Services, Payments, Finance",Financial Services & Fintech,Yes
Athene,https://www.crunchbase.com/organization/athene,$10B+,"Finance, Financial Services, Insurance, Retirement","7,278",Athene Holding is a life insurance company that provides retirement savings products for individuals and institutions.,Active,2009,For Profit,2016,https://twitter.com/atheneusa,65,,1,https://www.linkedin.com/company/athene-usa,,https://www.facebook.com/AtheneUSA/,,,policyholderquestions@athene.bm,,"West Des Moines, Iowa, United States",1.19E+11,"Athene Holding Ltd. (Athene) is a leading retirement services company that issues, reinsures and acquires retirement savings products designed for the increasing number of individuals and institutions seeking to fund retirement needs. Athene’s operating subsidiaries1 issue and reinsure these retirement savings products, including fixed annuities and funding agreements. Athene was founded in 2009 by James Belardi, former President of SunAmerica Life Insurance Company and now CEO of Athene Holding Ltd., and Chip Gillis, former head of Bear Stearns’ Insurance Solutions Group and now CEO of Athene Life Re.",1,https://www.athene.com/,"Community and Lifestyle, Financial Services, Other",1,Post-IPO Debt,3001,M&A,2,2024,Private Equity,3,,500000000,1128200000,1128200000,2228200000,"Made Acquisitions, Was Acquired",,Apollo,https://www.crunchbase.com/organization/apollo-global-management-llc,3,Leveraged Buyout,1080000000,Public,,2016,,10000000000,7,7,-8,,,,,2.16,0.957277079,0.484696167,742485.8381,166611.1296,71428571.43,318314285.7,0.428571429,"Retirement, Insurance, Financial Services",Financial Services & Fintech,Yes
Yes Bank,https://www.crunchbase.com/organization/yes-bank,$1B to $10B,"Banking, Finance, Financial Services, Venture Capital, Wealth Management","7,450",Yes Bank is a private sector bank that offers comprehensive banking and financial solutions to its customers.,Active,2004,For Profit,2005,http://twitter.com/yesbank,"1,904",,9,https://www.linkedin.com/company/yes-bank/,,http://www.facebook.com/YESBANK,,2,yestouch@yesbank.in,,"Mumbai, Maharashtra, India",(226) 669-9000,"Yes Bank is a private sector bank that offers comprehensive banking and financial solutions to its customers. Yes Bank is headquartered in Mumbai, Maharashtra and was founded in 2004.",5,http://yesbank.in,"Financial Services, Lending and Investments",5,Post-IPO Equity,10001,IPO,2,2022,Post-IPO Equity,5,,1123808321,1123808321,1123808321,3243435853,,4,,,,,,Public,Growing,2005,,5500000000,1,1,-17,,,,,,,,324311.1542,112369.5951,1123808321,3243435853,5,"Banking, Financial Services, Wealth Management",Financial Services & Fintech,Yes
The Baldwin Group,https://www.crunchbase.com/organization/baldwin-risk-partners,$10M to $50M,"Credit, Employee Benefits, Financial Services, Insurance, Risk Management","7,640",The Baldwin Group is an independent firm that delivers insurance and risk management insights and solutions.,Active,2011,For Profit,2019,https://twitter.com/brp_tweets,98,,1,https://www.linkedin.com/company/baldwin-risk-partners,,https://hi-in.facebook.com/brpgroupinc/,,3,info@baldwinriskpartners.com,,"Tampa, Florida, United States",866-279-0698,"The Baldwin Group is an independent firm that delivers insurance and risk management insights and solutions. It innovates in the insurance industry by taking a holistic and tailored approach to risk management, insurance, and employee benefits, and by supporting its clients, colleagues, insurance company partners, and communities through the deployment of vanguard resources and capital to drive their growth. The firm was ranked the # 3 Fastest-Growing Broker by Business Insurance. The Tampa, Florida-headquartered firm was established in 2011 by Kris Wiebeck and Lowry Baldwin.",,https://baldwin.com/,"Administrative Services, Financial Services, Health Care, Lending and Investments, Professional Services",,Post-IPO Debt,3001,IPO,2,2024,Post-IPO Equity,3,,600000000,24185406,24185406,794185406,Made Acquisitions,,,,7,,,Public,Growing,2019,,30000000,8,8,-5,,,,,,,,264640.2552,199933.3555,75000000,99273175.75,0.375,"Risk Management, Insurance, Financial Services",Financial Services & Fintech,Yes
loanDepot,https://www.crunchbase.com/organization/loandepot,$1B to $10B,"Banking, Finance, Financial Services, Mortgage, Real Estate","7,877","loanDepot is an independent retail mortgage lender that provides residential loans, refinance loans, and personal loan products nationwide.",Active,2010,For Profit,2021,https://www.twitter.com/loandepot,205,,,http://www.linkedin.com/company/loandepot,,,,,corpcomm@loandepot.com,,"Foothill Ranch, California, United States", 888-337-6888,"loanDepot is the third-largest private, independent retail mortgage lender in the U.S. and provides residential loans. loanDepot’s current business channels include direct lending, affinity, branch retail, and servicing. The innovative online consumer direct lending platform operates under the loanDepot brand. The company is also a leader in a distributed branch purchase platform under the imortgage brand. loanDepot currently has more than 2,200 employees and more than 700 licensed loan officers serving all 50 states. Licensed in all 50 states, loanDepot is an approved seller/servicer to Fannie Mae, Freddie Mac, and Ginnie Mae and services a majority of the loans it originates. Its product lineup includes FHA, HARP, VA, and Jumbo loans. The company opened its doors for business in 2010 following the U.S. financial meltdown and was founded on the principles of fair and ethical lending, with a customer-centric strategy to deliver great service and competitive rates. loanDepot’s CEO and Chairman is an industry veteran Anthony Hsieh, an innovator in the mortgage lending industry. The loanDepot leadership team is comprised of seasoned executives who have helped lead some of the largest and most successful mortgage companies and financial institutions in the U.S",,http://www.loandepot.com,"Financial Services, Lending and Investments, Real Estate",,Debt Financing,7501,IPO,2,2016,Venture - Series Unknown,4,,150000000,19750000,31949000,181949000,Made Acquisitions,1,,,2,,54000000,Public,Growing,2021,,5500000000,11,11,5,,,,,0.36,2.734177215,0.296786462,24256.63245,19997.33369,13636363.64,16540818.18,0.363636364,"Mortgage, Real Estate, Financial Services",Financial Services & Fintech,Yes
Stagwell,https://www.crunchbase.com/organization/stagwell-group,$1B to $10B,Asset Management,"8,337",Stagwell is a private equity firm led by ex-Microsoft CEO Steve Ballmer,Active,2015,For Profit,2021,,28,,,https://www.linkedin.com/company/the-stagwell-group,,,Private Equity Firm,1,beth@stagwellgroup.com,,"Washington, District of Columbia, United States",202-524-4364,"Stagwell is working to build an investment portfolio of marketing services companies. We are putting digital first in all investments without being weighed down by legacy assets. Our portfolio will only have one or two of each kind of agency from: digital media buying to market research to public relations and beyond to allow for true cooperation. Most importantly, we know great talent needs to be valued and nurtured to achieve best in class growth that will allow for generous incentives and financial rewards. To facilitate that growth, we will act as value added investors, not simply managers, through new business development, strategic counsel and add-on acquisitions that keep agencies on the cutting edge of marketing innovation.",,http://www.stagwellgroup.com/,Financial Services,,Private Equity,10001,IPO,1,2018,Private Equity,1,,260000000,260000000,260000000,260000000,Made Acquisitions,1,,,11,,,Public,,2021,,5500000000,6,6,3,,,,,,,,25997.40026,25997.40026,43333333.33,43333333.33,0.166666667,Asset Management,Financial Services & Fintech,Yes
Cronos Group,https://www.crunchbase.com/organization/cronos-group-93d4,$50M to $100M,"Cannabis, Consulting, Crowdfunding, Financial Services, FinTech, Medical, Pharmaceutical, Private Cloud, Venture Capital","8,425",Geographically diversified and vertically integrated cannabis company .,Active,2013,For Profit,2016,https://twitter.com/cronosgroup,209,,1,https://www.linkedin.com/company/cronosgroupcron/,Yes,https://www.facebook.com/The-Cronos-Group-419168411987225/,Venture Capital,,info@thecronosgroup.com,,"Toronto, Ontario, Canada",+1 (416) 504-0004,Cronos Group is a geographically diversified and vertically integrated cannabis group that operates within Health Canada’s Access to Cannabis for Medical Purposes Regulations and distributes globally.,,http://thecronosgroup.com,"Community and Lifestyle, Financial Services, Food and Beverage, Hardware, Health Care, Information Technology, Internet Services, Lending and Investments, Professional Services, Software",,Post-IPO Equity,376,IPO,4,2020,Post-IPO Equity,7,,257000,257000,1933022761,1964987727,Made Acquisitions,3,,,2,,,Public,,2016,,75000000,3,3,-4,,,,,,,,5226031.189,683.5106383,85666.66667,654995909,2.333333333,"Cannabis, Venture Capital, Private Cloud",Financial Services & Fintech,Yes
Prospa,https://www.crunchbase.com/organization/prospa,$50M to $100M,"Finance, Financial Services, FinTech, Small and Medium Businesses","8,441",Prospa is an Australian owned and operated online lending service provider for small businesses within the region.,Active,2012,For Profit,2019,https://twitter.com/howtoprospa,132,,,https://www.linkedin.com/organization/3212580,,https://www.facebook.com/ProspaAU/,,,info@prospa.com,,"Sydney, New South Wales, Australia",1(300) 882-867,"Prospa provides unsecured business loans to small businesses in Australia and is Australian owned and operated. Using a smart proprietary technology platform and a simple online application process, Prospa gives small business owners a fast and easy way to access finance, and has already helped thousands of Australian small businesses.  In 2015 Prospa won the Deloitte Tech Fast 50 with 6071% growth over three years, making it the fastest growing technology company in Australia, and the third fastest in Asia. Prospa was a 2015 Telstra Business Awards finalist and rated 33rd globally as a leading innovator in KPMG's Fintech 100.",,https://www.prospa.com/,"Financial Services, Other",,Post-IPO Equity,376,IPO,2,2024,Post-IPO Equity,7,424534605,131617913,131617913,208270328,228270328,,4,,,,,76289543,Public,,2019,456578085.2,75000000,7,7,-5,3.2255078,3.2255078,1.859788825,2.038382563,0.579628876,0.579628876,0.334207007,607101.9362,350047.641,18802559,32610046.86,1,"Small and Medium Businesses, Financial Services, Finance",Financial Services & Fintech,Yes
Runway Growth Capital,https://www.crunchbase.com/organization/runway-growth-capital,$1M to $10M,"Finance, Financial Services, Venture Capital","8,638","Runway Growth Capital is an experienced, reliable source of growth financing for dynamic, late-stage growth companies.",Active,2015,For Profit,2021,,17,,54,https://www.linkedin.com/company/18118078/,,,Venture Debt,,am@runwaygrowth.com,Debt,"California City, California, United States",646-576-7918,Our mission is to support passionate entrepreneurs in building great businesses by lending capital to companies looking to fund growth with minimal dilution.,24,https://runwaygrowth.com/,"Financial Services, Lending and Investments",24,Post-IPO Secondary,,IPO,1,2024,,2,604156964,43125000,,,88125000,,,,,,,100010000,Public,,2021,633650515.3,5500000,6,6,-3,14.00943685,,6.855681861,,2.319072464,,1.134865248,,,7187500,14687500,0.333333333,"Finance, Financial Services, Venture Capital",Financial Services & Fintech,Yes
HDFC Standard Life Insurance,https://www.crunchbase.com/organization/hdfc-standard-life-insurance-company,$100M to $500M,"Financial Services, Insurance, Life Insurance","8,705",HDFC Standard Life Insurance is a life insurance provider in India for both private and corporate clients.,Active,2000,For Profit,2017,https://twitter.com/hdfclife,35,,,https://www.linkedin.com/company/19117,,https://www.facebook.com/HDFClife/,,,service@hdfclife.com,,"Mumbai, Maharashtra, India",91 22 6751 6666,"HDFC Standard Life Insurance Company Ltd (HDFC Life) is Mumbai based life insurance provider in India. HDFC Life offers a wide range of individual and group insurance solutions including Protection, Pension, Savings & Investment and Health, along with Children's and Women's Plan. HDFC Life is a joint venture between HDFC and Standard Life Aberdeen plc. HDFC is a leading financial service provider in India offering finance for housing, banking, life and general insurance, asset management, venture capital and education loans. Standard Life is an Edinburgh based investment company offering wide range of financial services across the globe. ",13,http://www.hdfclife.com/,Financial Services,13,Post-IPO Secondary,10001,IPO,1,2022,,1,9545798416,310165163,,,310165164,Made Acquisitions,,,,1,,1429168909,Public,,2017,10710300140,300000000,17,17,-5,30.77650089,,30.77650079,,4.607767343,,4.607767328,31013.41506,31013.41496,18245009.59,18245009.65,0.058823529,"Financial Services, Insurance, Life Insurance",Financial Services & Fintech,Yes
NCR Atleos,https://www.crunchbase.com/organization/ncr-atleos,$1B to $10B,"Banking, FinTech","8,838",NCR Atleos provides banks and retailers with technological solutions to reduce operational complexity and increase customer experiences.,Active,2023,For Profit,2023,https://twitter.com/ncratleos,51,,,https://www.linkedin.com/company/ncratleos/,,https://www.facebook.com/Atleos.NCR/,,,,,"Atlanta, Georgia, United States",-6651,NCR Atleos is a technology partner for banks and retailers that offers solutions that streamline operations and elevate customer experiences. The company provides technological solutions to reduce complexity and enhance customer satisfaction for its clients in the dynamic financial and retail sectors.,,https://www.ncratleos.com,"Financial Services, Lending and Investments",,Post-IPO Debt,10001,IPO,,2023,,1,,1350000000,,,1350000000,,,,,,,,Public,Growing,2023,,5500000000,0,0,0,,,,,,,,134986.5013,134986.5013,,,,"Banking, FinTech",Financial Services & Fintech,Yes
Jana Small Finance Bank,https://www.crunchbase.com/organization/janalakshmi,$500M to $1B,"Finance, Financial Services, FinTech, Lending","8,869",Janalakshmi Financial Services is a for-profit NBFC serving the urban underserved.,Active,2006,For Profit,2024,https://twitter.com/janabank,92,,,https://www.linkedin.com/company/jana-small-financebank/,,https://www.facebook.com/janabankonline/,,,info@janalakshmi.com,,"Bangalore, Karnataka, India",91 80 4259 5700,"Janalakshmi Financial Services is a for-profit NBFC serving the urban underserved, with the promoter stake held in the not-for-profit entity Janalakshmi Social Services. This is the only NBFC in India structured in such a manner, with the deliberate intent of keeping the social spirit intact. Janalakshmi Financial Services' market-based approach to financial inclusion is defined by three distinct characteristics: first, an exclusive focus on servicing the needs of the urban poor; second, a strong customer-value driven approach in designing financial products and services; third, the centrality of technology and processes as the foundation of a scalable enterprise.",,https://www.janabank.com/,Financial Services,,Private Equity,10001,IPO,1,2023,Private Equity,15,521595102,68270411,68270411,564962903,702524621,,9,,,,,68661666,Public,Growing,2024,521595102,750000000,18,18,1,7.640134201,7.640134201,0.74245811,0.92323779,1.00573096,1.00573096,0.097735601,70245.43756,6826.358464,3792800.611,39029145.61,0.833333333,"Financial Services, Lending, Finance",Financial Services & Fintech,Yes
M&G Plc,https://www.crunchbase.com/organization/m-g-plc,,Financial Services,"9,015",M&G plc is a leading savings and investments business.,Active,2017,For Profit,2019,https://twitter.com/mandgplc,21,,4,https://www.linkedin.com/company/mandgplc,,,,,,,"London, England, United Kingdom",+44 (0)207 626 4588,"M&G plc is a leading savings and investments business which was formed in 2017 through the merger of Prudential plc’s UK and Europe savings and insurance operation and M&G, its wholly-owned international investment manager. In March 2018, Prudential plc announced its intention to demerge the company with a premium listing on the London Stock Exchange.  As an independent company, M&G plc has a single corporate identity and continues with two customer-facing brands; Prudential for savings and insurance customers in the UK and Europe and for asset management in South Africa and M&G Investments for asset management clients globally. In the UK, we manage £51 billion of savings on behalf of Prudential customers, many of whom invest in our PruFund range of funds, which smooths some of the extreme short term ups and downs of the stock market. We also offer face-to-face advice to UK customers through our Prudential Financial Planning service, which now has 400 advisers across the country.  Under the M&G Investments brand, we offer asset management products and strategies to retail asset management and institutional clients in 28 markets. Our investment capabilities span the range of asset classes from cash to government bonds, corporate credit, multi-asset and equities. We also manage £57 billion of private assets, including bank loans, infrastructure and real estate.",2,http://global.mandg.com,Financial Services,2,Post-IPO Equity,7501,IPO,1,2022,Post-IPO Equity,1,,268768203,268768203,268768203,268768203,Made Acquisitions,1,,,2,,,Public,Growing,2019,,,2,2,-3,,,,,,,,35830.98294,35830.98294,134384101.5,134384101.5,0.5,Financial Services,Financial Services & Fintech,Yes
TMX Group,https://www.crunchbase.com/organization/tmx-group,$100M to $500M,"Financial Exchanges, Financial Services, Insurance, Market Research, Stock Exchanges","9,200","TMX Group companies provide listing venues, trading markets, clearing facilities, data products services to the global financial community.",Active,2008,For Profit,2012,https://twitter.com/TMXGroup,423,,2,https://www.linkedin.com/company/tmx-group,,https://www.facebook.com/pages/TMX-Capital-Markets-Learning-Centre/144002475754218,,3,info@tmx.com,,"Toronto, Ontario, Canada",(888)873-8392,"TMX Group companies provide listing venues, trading markets, clearing facilities, data products and other services to the global financial community.  TMX Group Limited and its affiliates do not endorse or recommend any securities issued by any companies identified on, or linked through, this site. Please seek professional advice to evaluate specific securities or other content on this site.  All content (including any links to third party sites) is provided for informational purposes only (and not for trading purposes), and is not intended to provide legal, accounting, tax, investment, financial or other advice and should not be relied upon for such advice. The views, opinions and advice of any third party reflect those of the individual authors and are not endorsed by TMX Group Limited or its affiliates.  TMX Group Limited and it affiliates have not prepared, reviewed or updated the content of third parties on this site or the content of any third party sites, and assume no responsibility for such information.",2,http://www.tmx.com/en/index.html,"Data and Analytics, Design, Financial Services, Lending and Investments",2,Post-IPO Debt,3001,IPO,,2024,,2,,218425183,,,1035902553,Made Acquisitions,,,,7,,,Public,Growing,2012,,300000000,4,4,-12,,,,,,,,345185.7891,72784.13296,54606295.75,258975638.3,0.5,"Financial Services, Financial Exchanges, Stock Exchanges",Financial Services & Fintech,Yes
The Beneficient Company Group,https://www.crunchbase.com/organization/the-beneficient-company-group,,"Asset Management, Finance, Financial Services, Insurance, Professional Services","9,323",The Beneficient Company Group is a financial services company providing private trust solutions and other financial and fiduciary services.,Active,2003,For Profit,2023,,7,,,https://www.linkedin.com/company/beneficientco/,,,,,,,"Dallas, Texas, United States",214-445-4700,"The Beneficient Company Group is a financial services company providing private trust solutions and other financial and fiduciary services for alternative asset owners. These solutions are available for most professionally-managed alternative asset investments and can be customized to suit individual circumstances. Serving as a principal by using its own balance sheet, the firm operates as a permanent financial institution that helps to remove many of the traditional barriers to liquidity faced by mid to high-net-worth individuals and small to midsized institutions. The company was founded in 2003 and is headquartered in Dallas, Texas.",,https://www.trustben.com/,"Financial Services, Other",,Post-IPO Debt,176,IPO,1,2023,Private Equity,2,3300000000,25000000,383686422,383686422,408686422,Made Acquisitions,1,,,1,,,Public,,2023,3349944629,,20,20,0,132,8.600773472,8.074650447,8.600773472,,,,2322081.943,142045.4545,1250000,20434321.1,0.1,"Financial Services, Professional Services, Insurance",Financial Services & Fintech,Yes
GenWorth,https://www.crunchbase.com/organization/genworth,$1B to $10B,"Finance, Financial Services, FinTech, Insurance","10,071","Genworth is an insurance company that is dedicated to help people secure their financial lives, families, and futures.",Active,2004,For Profit,2004,http://twitter.com/Genworth,155,,,http://www.linkedin.com/company/369633,,https://www.facebook.com/Genworth/,,2,info@libertyreverse.com,,"Richmond, Virginia, United States",800 218.1415,"Genworth Financial, Inc. (NYSE: GNW) is a Fortune 500 insurance holding company dedicated to helping people secure their financial lives, families, and futures. Genworth has leadership positions in offerings that assist consumers in protecting themselves, investing for the future, and planning for retirement. In addition, the company is a global leader in managing mortgage default risk. Genworth’s Global Mortgage Insurance Division works with lender partners, regulators, and policy leaders to help more people responsibly achieve and maintain the dream of homeownership. In doing so, it promotes stronger and more sustainable communities around the world. By combining its global experience in mortgage guarantees with technology and service leadership, Genworth delivers innovation to the housing marketplace.",,https://www.genworth.com,Financial Services,,Post-IPO Debt,7501,M&A,1,2018,Post-IPO Equity,2,,450000000,102000,102000,450102000,Was Acquired,,China Oceanwide,https://www.crunchbase.com/organization/china-oceanwide-2,,Leveraged Buyout,2800000000,Public,Growing,2004,,5500000000,0,0,-14,,,,,6.222222222,27450.98039,6.220812171,60005.59925,59992.00107,,,,"Insurance, Financial Services, Finance",Financial Services & Fintech,Yes
EverQuote,https://www.crunchbase.com/organization/everquote,$50M to $100M,"Auto Insurance, Insurance, Internet, Marketplace","10,359",EverQuote is an independent insurance marketplace and is a free service that helps consumers compare quotes on auto insurance.,Active,2010,For Profit,2018,https://twitter.com/EverQuoteInsure,282,,,https://www.linkedin.com/company/everquote,,https://www.facebook.com/EverQuote,,,press@everquote.com,,"Cambridge, Massachusetts, United States",(617) 245-0615,"EverQuote is an independent insurance marketplace and is a free service that helps consumers compare quotes on auto insurance. It operates an online insurance marketplace connecting consumers with insurance providers. The company's data and technology platform matches and connects consumers seeking to purchase insurance with relevant options from the company's broad direct network of insurance providers, saving consumers and providers time and money. EverQuote was founded with the vision of applying a scientific, data-driven approach to help consumers find the best price and coverage for their individual insurance needs.",,https://www.everquote.com/,"Commerce and Shopping, Financial Services, Internet Services",,Post-IPO Equity,376,IPO,3,2022,Post-IPO Equity,7,446000000,15000000,15000000,52568676,52568676,Made Acquisitions,4,,,2,,84000000,Public,Growing,2018,488450816.4,75000000,8,8,-4,29.73333333,29.73333333,8.484139871,8.484139871,5.6,5.6,1.597909751,139810.3085,39893.61702,1875000,6571084.5,0.875,"Auto Insurance, Insurance, Marketplace",Financial Services & Fintech,Yes
VEF,https://www.crunchbase.com/organization/vef,$50M to $100M,"Financial Services, FinTech, Venture Capital","10,687",The emerging market fintech investor,Active,2015,For Profit,2015,,33,,24,https://bm.linkedin.com/company/vefvc,,,Venture Capital,,henrik@vef.vc,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture","Stockholm, Stockholms Lan, Sweden",+46-8 545 015 50,"VEF is an investment company listed on Nasdaq First North Growth Market in Sweden under the ticker VEFL. We invest in growth stage private fintech companies across the emerging world. We take minority stakes and are active investors with board representation in each of our portfolio holdings. We respect the macro, but are firm believers that the secular growth trend of EM fintech outweighs all the macro uncertainty and volatility that we and our portfolio companies will invariably live through. A digital financial world is the end game and the best companies always come out of pockets of macro and market turbulence in a stronger relative position.",2,https://vef.vc,"Financial Services, Lending and Investments",2,Post-IPO Equity,,IPO,,2020,Post-IPO Equity,2,,60669674,60669674,130054652,130054652,,,,,,,,Public,,2015,,75000000,0,0,-5,,,,,,,,,,,,,"Financial Services, FinTech, Venture Capital",Financial Services & Fintech,Yes
Perella Weinberg,https://www.crunchbase.com/organization/perella-weinberg-partners,,"Finance, Financial Services","10,744",Perella Weinberg is a privately-owned financial services firm that provides corporate advisory and asset management services.,Active,2006,For Profit,2021,,249,,1,https://www.linkedin.com/company/perella-weinberg-partners,,,,,,,"New York, New York, United States",(212) 287-3200,"Perella Weinberg is an independent, privately-owned financial services firm that provides corporate advisory and asset management services to clients around the world. The Firm has assembled a group of talented and experienced professionals recruited from a wide variety of leading global financial institutions. Launched in 2006, the company is divided into two business units: corporate advisory, which provides services to decision makers in business and government, and asset management, which consists of investment vehicles catering to institutional investors.",4,http://www.pwpartners.com,Financial Services,4,Post-IPO Equity,751,IPO,3,2024,Post-IPO Equity,2,975000000,60000000,60000000,185000000,185000000,Made Acquisitions,,,,1,,230000000,Public,Growing,2021,1022597254,,15,15,-3,16.25,16.25,5.27027027,5.27027027,3.833333333,3.833333333,1.243243243,246338.2157,79893.47537,4000000,12333333.33,0.133333333,"Finance, Financial Services",Financial Services & Fintech,Yes
Coaction Specialty Insurance Group,https://www.crunchbase.com/organization/prosight-specialty-insurance-2,$100M to $500M,"Commercial Insurance, Finance, Financial Services, Insurance, InsurTech, Property Insurance","11,085","Coaction is a specialty P&C insurance company, providing a wide range of property and liability solutions to customers across the US.",Active,2009,For Profit,2019,https://twitter.com/coactionglobal,11,,,https://www.linkedin.com/company/coactionglobal,,,,,inquiries@coactionspecialty.com,,"Morristown, New Jersey, United States",(973) 532-1900,"Founded in 2009 as ProSight Global, Coaction Global (Coaction) is an A.M. Best “A-“ (Excellent)-rated, P&C insurer providing specialty property, casualty, entertainment, executive liability, and multi-line coverages. Through data-driven insights and collaboration, the company coacts with customers and partners to rationally manage risk for a more confident, sustainable future.",,https://www.coactionspecialty.com/,Financial Services,,Private Equity,376,M&A,1,2023,Private Equity,1,7800000,200000000,200000000,200000000,200000000,Was Acquired,2,Further Global Capital Management,https://www.crunchbase.com/organization/further-global-capital-management,,Acquisition,109200000,Public,Growing,2019,8388736.801,300000000,10,10,-4,0.039,0.039,0.039,0.039,0.546,0.546,0.546,531914.8936,531914.8936,20000000,20000000,0.1,"Property Insurance, Insurance, Commercial Insurance",Financial Services & Fintech,Yes
Argo Blockchain,https://www.crunchbase.com/organization/argo-blockchain-plc,$10M to $50M,"Blockchain, Cryptocurrency, Information Technology, Smart Contracts","11,136","Argo is a blockchain technology company that offers cryptocurrency mining, smart contract fulfillment, and ease of transactions.",Active,2017,For Profit,2021,https://twitter.com/ArgoBlockchain,140,,2,https://www.linkedin.com/company/argoblockchain/,,,,,support@argoblockchain.com,,"London, England, United Kingdom",+44 7884003403,Argo is a publicly-traded blockchain technology company focused on large-scale cryptocurrency mining. It specializes in the use of renewable sources of power to support the growth and development of blockchain technologies.,2,http://www.argoblockchain.com,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Other, Payments, Software",2,Post-IPO Equity,76,IPO,2,2024,Post-IPO Equity,10,6852485025,9938660,9938660,83915321,234177127,,2,,,,,112500000,Public,,2021,7187007559,30000000,4,4,-3,689.4777591,689.4777591,29.2619741,81.65952228,11.3194334,11.3194334,0.480405586,3081277.987,130771.8421,2484665,58544281.75,2.5,"Cryptocurrency, Blockchain, Smart Contracts",Financial Services & Fintech,Yes
