Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Number of Investments,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Number of Portfolio Organizations,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Price (in USD),Announced Date,Money Raised at IPO (in USD),IPO Status,Last Layoff Mention Date,Growth Category,Last Leadership Hiring Date,IPO Date,Numeric Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Money_Raised_at_IPO / Total_Equity_Funding,Total funding amount / number of employees,Numeric revenue range / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),Numeric revenue amount / total number of employees * (IPO - founded date),ind_update,narrowed_industry,,Organization Name.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Number of Articles.1,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Number of Investments.1,Unnamed: 22,Unnamed: 23,Unnamed: 24,Number of Exits (IPO).1,Unnamed: 26,Number of Portfolio Organizations.1,Unnamed: 28,Number of Exits.1,Unnamed: 30,Number of Employees.1,Unnamed: 32,Number of Founders.1,Unnamed: 34,Unnamed: 35,Number of Funding Rounds.1,Valuation at IPO (in USD).1,Last Funding Amount (in USD).1,Last Equity Funding Amount (in USD).1,Total Equity Funding Amount (in USD).1,Total Funding Amount (in USD).1,Unnamed: 42,Number of Lead Investors.1,Unnamed: 44,Unnamed: 45,Number of Acquisitions.1,Unnamed: 47,Unnamed: 48,Unnamed: 49,Money Raised at IPO (in USD).1,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Adjusted Valuation According to Inflation,Numerical Revenue Range,IPO Date - Founded Date.1,Exit Date - Founding Date.1,IPO Date - Last_Funding_Date.1,Valuation_at_IPO / Last_Funding.1,Valuation_at_IPO_per_Last_Equity_Funding.1,Valuation_at_IPO / Total_Funding.1,Valuation_at_IPO / Total_Equity_Funding.1,Money_Raised_at_IPO / Last_Funding.1,Money_Raised_at_IPO / Last_Equity_Funding.1,Money_Raised_at_IPO / Total_Funding.1,Money_Raised_at_IPO / Total_Equity_Funding.1,Total funding amount / number of employees.1,Numeric revenue range / number of employees.1,Last funding amount / number of employees.1,Last funding amount / ( ipo - founded date ).1,Total funding amount / (ipo - founded date).1,Number of funding rounds / (ipo - founde date).1,IPO - last learship hiring date,Numeric revenue amount / total number of employees * (IPO - founded date).1,success
Datree,https://www.crunchbase.com/organization/datree-io,Less than $1M,"Cloud Computing, Developer Tools, DevOps, Internet, Productivity Tools","35,537",Datree is the creator of a git-centric DevOps management platform.,Closed,2017,For Profit,,http://twitter.com/datreeio,14,,,https://www.linkedin.com/company/datreeio,,https://www.facebook.com/datreeio,,,support@datree.io,,,"San Francisco, California, United States",,"Datree is the creator of a git-centric DevOps management platform that allows for scaling without sacrificing visibility, information flow, or quality. The company's technology maps all code components, repositories, and committers while identifying their cross-connectivity to create a real-time, 360-degree catalog of the stack, allowing developers to optimize production with continuous delivery and a dependable flow of changes.",,https://www.datree.io,,"Information Technology, Internet Services, Software",,Seed,6,Seed,3,2020,Seed,2,,8000000,8000000,11000000,11000000,,2,,,,,,,,Private,,,,,500000,,,,,,,,,,,,1833333.333,83333.33333,1333333.333,,,,,"DevOps, Productivity Tools, Internet",Technology & Software,,Cloud DX,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,2,,,12,,2800000,2800000,22887645,32727495,,1,,,,,,,4862277,,,,,,,5500000,7,7,-3,,,,,1.7365275,1.7365275,0.148568566,0.212441123,,,,400000,4675356.429,1.714285714,,,Yes
Grin Scooters,https://www.crunchbase.com/organization/grin-scooters,Less than $1M,"Electric Vehicle, Last Mile Transportation, Mobile, Ride Sharing, Software, Transportation","35,539",Grin Scooters is a micromobility company in Latin America that merged with Yellow to create Grow Mobility,Closed,2018,For Profit,,https://www.twitter.com/grinscooters,6,,,https://www.linkedin.com/company/grin-scooters/,,https://www.facebook.com/grinscooters/,,,,,,"Mexico City, Distrito Federal, Mexico",,"Grin Scooters is a software company that operates network of operational shared electric scooters. Currently, Grin only operates in Mexico City, Guadalajara, Monterrey, Sao Paulo and Bogota but it has plans to expand to other cities throughout Latin America.",,https://www.ongrin.com,,"Mobile, Software, Transportation",,Series A,176,Early Stage Venture,6,2018,Series A,4,,45652616,45652616,72652616,72652616,Made Acquisitions,3,,,2,,,,,Private,,,,,500000,,,,,,,,,,,,412798.9545,2840.909091,259389.8636,,,,,"Transportation, Software, Ride Sharing",Transportation & Automotive,,Keros Therapeutics,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,76,,1,,,5,307000000,140000000,140000000,379500000,379500000,,5,,,,,,,96000000,,,,,,326217156.1,1000000,5,5,-4,2.192857143,2.192857143,0.808959157,0.808959157,0.685714286,0.685714286,0.252964427,0.252964427,4993421.053,13157.89474,1842105.263,28000000,75900000,1,,2631.578947,Yes
Adeptus Health,https://www.crunchbase.com/organization/adeptus-health,$100M to $500M,"Health Care, Hospital, Medical","35,601",Adeptus Health is a healthcare organization that offers emergency medical care through its network of emergency rooms and partnerships.,Closed,2002,For Profit,2014,https://twitter.com/adeptushealth,19,,,https://www.linkedin.com/company/adeptus-health?trk=prof-following-company-logo,,,,,,,,"Lewisville, Texas, United States",(972)899-6666,"Adeptus Health is a healthcare organization that offers emergency medical care through its network of freestanding emergency rooms and partnerships with various healthcare providers. The organization’s emergency rooms contain a suite of diagnostic radiology technology solutions for CT scan, ultrasound, and digital X-ray; on-site laboratories; and physicians and emergency trained registered nurses. In Texas, Adeptus Health owns and operates First Choice Emergency Room, a network of independent freestanding emergency rooms. In Colorado, in partnership with University of Colorado Health, it operates UCHealth Emergency Rooms. In Arizona, with Dignity Health, the company owns and operates Dignity Health Arizona General Hospital and freestanding emergency rooms. In Louisiana, Adeptus Health has a partnership with Ochsner Health System.",,http://adhc.com/,,Health Care,,Post-IPO Debt,3001,M&A,1,2017,Post-IPO Equity,3,,257700000,27000000,27000000,459700000,Was Acquired,1,Deerfield Management,https://www.crunchbase.com/organization/deerfield-management-4e45,,Acquisition,,2017,93000000,Delisted,,,,2014,300000000,12,12,-3,,,,,0.36088475,3.444444444,0.202305852,3.444444444,153182.2726,99966.67777,85871.37621,21475000,38308333.33,0.25,8330.556481,"Health Care, Hospital, Medical",Healthcare & Biotechnology,,Venus Concept,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,376,,1,,,6,,6720000,6720000,94980523,114980523,,9,,,1,,,,,,,,,,,30000000,10,10,-3,,,,,,,,,305799.2633,79787.23404,17872.34043,672000,11498052.3,0.6,,7978.723404,Yes
Restore Medical Solutions,https://www.crunchbase.com/organization/restore-medical-solutions-inc,Less than $1M,"Biotechnology, Health Care, Manufacturing, Medical, Medical Device","35,608",Restore Medical Solutions manufactures a sterilization tray system that reduces the risk of infection from contaminated medical instruments.,Closed,2012,For Profit,,http://twitter.com/RestoreMedical,9,,,https://www.linkedin.com/company/restore-medical-solutions,,,,,info@restore-med.com,,,"Memphis, Tennessee, United States",(855) 803-6889,"Restore Medical Solutions is a medical device company focusing on products and techniques that promote SSI reduction, safety, and productivity within healthcare. The company manufactures a sterilization tray system that reduces the risk of infection from contaminated medical instruments. Its modular sterilization tray systems reduce the potential risk of infection from contaminated instruments and enable surgical departments to improve the quality of care while reducing cost. Founded in 2012, Restore Medical Solutions is headquartered in Memphis, Tennessee.",,http://www.restore-med.com,,"Biotechnology, Health Care, Manufacturing, Science and Engineering",,Series A,31,Early Stage Venture,2,2018,Series A,14,,800000,800000,7587200,7862200,,1,,,,,,,,Private,,,,,500000,,,,,,,,,,,,253619.3548,16129.03226,25806.45161,,,,,"Medical, Medical Device, Manufacturing",Healthcare & Biotechnology,,Xtant Medical,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,176,,,,,10,,17000000,15000000,156643658,276643658,,2,,,,,,,,,,,,,,75000000,5,5,-13,,,,,,,,,1571838.966,426136.3636,96590.90909,3400000,55328731.6,2,,85227.27273,Yes
Jawbone Health,https://www.crunchbase.com/organization/jawbone-health,$10M to $50M,"Health Care, Information Services, Wellness","35,663",Jawbone Health helps its users to catch lifestyle diseases early and guide them towards a healthier life.,Closed,2017,For Profit,,,1,,,https://www.linkedin.com/company/jawbone-health/,,,,,careers@jawbonehealth.com,,,"San Francisco, California, United States",,"Jawbone Health helps its users to catch lifestyle diseases early and guide them towards a healthier life. The company was founded in 2017 and based in San Francisco, California.",,https://jawbonehealth.co,,"Health Care, Information Technology",,Venture - Series Unknown,76,,1,2019,Venture - Series Unknown,5,,,,65426856,65426856,,,,,,,,,,Private,,,,,30000000,,,,,,,,,,,,860879.6842,394736.8421,,,,,,"Health Care, Information Services, Wellness",Healthcare & Biotechnology,,Penumbra,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,7501,,2,,,2,,2749996,2749996,2871226,2871226,,,,,1,,,,120000000,,,,,,,5500000000,11,11,-6,,,,,43.63642711,43.63642711,41.79399323,41.79399323,382.7790961,733235.5686,366.617251,249999.6364,261020.5455,0.181818182,,66657.77896,Yes
Aptrinsic,https://www.crunchbase.com/organization/aptrinsic-inc,$1M to $10M,"Enterprise Software, Product Management, SaaS","35,714","Aptrinsic is a product experience platform helping companies acquire, retain, and grow customers by creating personalized engagements.",Closed,2016,For Profit,2018,https://twitter.com/aptrinsic,6,,,https://www.linkedin.com/company/aptrinsic,,https://www.facebook.com/pg/aptrinsic/,,,info@aptrinsic.com,,,"San Mateo, California, United States",1(650)532-3701,"Aptrinsic is a product experience platform helping companies acquire, retain, and grow customers by creating real-time and personalized engagements driven by product usage data.  With Aptrinsic, companies can implement an effective product-led go-to-market strategy that will increase product adoption and customer lifetime value. It provides product managers and marketers with tools to make informed decisions on what to build next and collect relevant feedback from the right customers. Co-founders Nick Bonfiglio and Mickey Alon headquartered the company in San Mateo, California in 2016.",,https://www.aptrinsic.com,,"Other, Software",,Series A,31,M&A,2,2017,Series A,1,,7200000,7200000,7200000,7200000,Was Acquired,2,Gainsight,https://www.crunchbase.com/organization/gainsight,,Acquisition,,2018,,Private,,,,,5500000,,2,,,,,,,,,,232258.0645,177419.3548,232258.0645,,,,,"Enterprise Software, Product Management, SaaS",Technology & Software,,Janux Therapeutics,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,76,,1,,,5,678317000,296500000,296500000,548939224,548939224,,2,,,,,,,222900000,,,,,,711430873.4,,4,4,-3,2.287747049,2.287747049,1.235686885,1.235686885,0.751770658,0.751770658,0.406055881,0.406055881,7222884.526,,3901315.789,74125000,137234806,1.25,,,Yes
Aidyia,https://www.crunchbase.com/organization/aidyia,$1M to $10M,"Artificial Intelligence (AI), Finance, Financial Services, FinTech","35,777",Aidyia provides AI based financail market prediction.,Closed,2011,For Profit,,,1,,,https://www.linkedin.com/company/aidyia-limited/,,,,,info@aidyia.com,,,"Kwun Tong, Kowloon, Hong Kong",,Aidyia was founded in Hong Kong in October 2011 by a team of computer scientists and financial market veterans. They deploy cutting edge artificial general intelligence (AGI) technology to identify patterns and predict price movements in global financial markets.,,http://www.aidyia.com,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,Undisclosed,31,,5,2015,Undisclosed,1,,20000000,20000000,20000000,20000000,,,,,,,,,,Private,,,,,5500000,,,,,,,,,,,,645161.2903,177419.3548,645161.2903,,,,,"Artificial Intelligence (AI), Financial Services, Finance",Technology & Software,,IO Biotech,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,76,,5,,,5,388398738,,,166285224,175012360,,2,,,,,,,100100000,,,,,,407359469.7,5500000,7,7,-2,,,2.219264617,2.335738129,,,0.571959603,0.60197772,2302794.211,72368.42105,,,25001765.71,0.714285714,,10338.34586,Yes
AdWallet,https://www.crunchbase.com/organization/adwallet,Less than $1M,"Apps, Mobile, Mobile Apps, Social Media","35,833",AdWallet operates as a direct to consumer marketing and research platform that rewards consumers for their time and attention.,Closed,2017,For Profit,,https://twitter.com/bestofadwallet,1,,,https://www.linkedin.com/company/adwallet,,https://www.facebook.com/adwallet/,,,advertising@adwallet.com,,,"Albuquerque, New Mexico, United States",505.346.0196,"AdWallet operates as a direct to consumer marketing and research platform that rewards consumers for their time and attention. AdWallet pays its users $.50 every time they watch a TV ad and prove they've watched it. It also pays the users an additional $.25 when they share it on social media. It was founded in 2017 and is headquartered in Albuquerque, New Mexico.",,https://adwallet.com/,,"Apps, Internet Services, Media and Entertainment, Mobile, Software",,Series A,6,Early Stage Venture,1,2021,Series A,4,,75000,75000,3892310,3892310,,1,,,,,,,,Private,,,,,500000,,,,,,,,,,,,648718.3333,83333.33333,12500,,,,,"Social Media, Mobile Apps, Mobile",Media & Entertainment,,Paragon 28,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,751,,2,,,4,1203248080,150000000,73300000,73300000,223500000,,3,,,2,,,,125000000,,,,,,1261987879,300000000,11,11,-2,8.021653867,16.4153899,5.383660313,16.4153899,0.833333333,1.7053206,0.559284116,1.7053206,297603.1957,399467.3768,199733.6884,13636363.64,20318181.82,0.363636364,,36315.21608,Yes
mnubo,https://www.crunchbase.com/organization/mnubo-inc,$10M to $50M,"Analytics, Big Data, Internet of Things, Machine Learning, Predictive Analytics","35,845",mnubo is an IoT company that provides data analytics solutions.,Closed,2012,For Profit,2019,http://twitter.com/mnubo,26,,,http://www.linkedin.com/company/mnubo,,http://www.facebook.com/mnubo,,,info@mnubo.com,,,"Montréal, Quebec, Canada",(514) 313-1400,"mnubo is an Internet of Things (IoT) company, providing Data Analytics solutions for connected Product Manufacturers and Service Providers. mnubo’s solution equips manufacturers with insights that allow them to improve product usage, increase customer engagement, reduce customer churn and lower the cost of operations. SmartObjects facilitate the exploration and analysis of sensor time series and events in order to obtain insightful and actionable information about connected products, enabling ‘connected things’ to become ‘smart things’. mnubo was founded in 2012.",,http://www.mnubo.com,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Software",,Series B,76,M&A,4,2018,Series B,3,,13376028,13376028,18382036,18382036,Was Acquired,2,Aspen Technology,https://www.crunchbase.com/organization/aspen-technology,,Acquisition,78223858,2019,,Private,,,,,30000000,,7,,,,,,,,,,241868.8947,394736.8421,176000.3684,,,,,"Analytics, Big Data, Predictive Analytics",Technology & Software,,Nuvalent,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,76,,1,,,4,795950000,300000000,300000000,749500000,749500000,,2,,,,,,,165750000,,,,,,834806445.5,5500000,4,4,-2,2.653166667,2.653166667,1.06197465,1.06197465,0.5525,0.5525,0.221147432,0.221147432,9861842.105,72368.42105,3947368.421,75000000,187375000,1,,18092.10526,Yes
Lantern,https://www.crunchbase.com/organization/thriveon,$100M to $500M,"Fitness, Health Care, Wellness","35,855",Lantern's personalized programs combine quick daily exercises with professional coaching to strengthen emotional well-being,Closed,2012,For Profit,,https://twitter.com/golantern,54,,,http://www.linkedin.com/company/3552254,,https://www.facebook.com/lanternhealth,,,hello@golantern.com,,,"San Francisco, California, United States",(855) 976-8744,"Finding emotional well-being during life’s twists and turns isn’t easy. Accessing care is at best expensive, and at worst completely out of reach. And that’s where Lantern comes in. Founded in 2012 in San Francisco, they’re a team of researchers, technologists, and clinicians translating clinical research and expertise into simple, effective web and mobile programs based in cognitive behavioral therapy. They’re not about unrealistic promises or get-happy-quick schemes. They’re about removing the stigma and barriers that prevent people from strengthening their emotional selves, offering a holistic approach to making every day better. They envision a world in which people think differently about their mental health–where they feel empowered to take a simple step toward self-improvement. They’re on a mission to make this happen, and they hope you’ll join us.",,https://golantern.com/,,"Health Care, Sports",,Series A,31,Early Stage Venture,3,2016,Series A,3,,17000000,17000000,21400000,21400000,,2,,,,,,,,Private,,,,,300000000,,,,,,,,,,,,690322.5806,9677419.355,548387.0968,,,,,"Fitness, Health Care, Wellness",Healthcare & Biotechnology,,IGM Biosciences,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,376,,1,,,6,,107300000,107300000,699301000,699301000,,1,,,,,,,201300000,,,,,,,5500000,9,9,-4,,,,,1.876048462,1.876048462,0.287858876,0.287858876,1859843.085,14627.65957,285372.3404,11922222.22,77700111.11,0.666666667,,1625.295508,Yes
Svelte Medical Systems,https://www.crunchbase.com/organization/svelte-medical-systems,$1M to $10M,"Health Care, Medical, Medical Device","35,856",Svelte Medical Systems is a healthcare company engaged in the design and development of highly deliverable balloon expandable stents.,Closed,2007,For Profit,,,24,,,https://www.linkedin.com/company/svelte-medical-systems,,,,,Info@sveltemedical.com,,,"New Providence, New Jersey, United States",+1 908 264 2194,"Svelte Medical Systems (Svelte) is a privately held company focused on delivering novel products in the $5 billion coronary stent market. Its mission is to address key clinical issues in the stent market by improving stent deliverability, reducing cost, and dramatically improving the safety of the device compared to current market products. Svelte has developed the lowest profile and most deliverable balloon-expandable stent in the market, along with technology to create a non-thrombogenic, non-inflammatory Drug-Eluting Stent (DES).  Svelte was started by Robert Fischell, David Fischell, and Tim Fischell in 2007.",,http://sveltemedical.com,,Health Care,,Venture - Series Unknown,31,,3,2021,Venture - Series Unknown,11,,5445363,5445363,101902496,128406451,,2,,,,,,,,Private,,,,,5500000,,,,,,,,,,,,4142143.581,177419.3548,175656.871,,,,,"Health Care, Medical, Medical Device",Healthcare & Biotechnology,,Verano Holdings,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,3001,,2,,,6,,350000000,79944282,299944282,999944282,,2,,,5,,,,,,,,,,,5500000000,3,3,-1,,,,,,,,,333203.6928,1832722.426,116627.7907,116666666.7,333314760.7,2,,610907.4753,Yes
Tidemark,https://www.crunchbase.com/organization/tidemark,$50M to $100M,"Analytics, Cloud Computing, Enterprise Software, PaaS, SaaS, Software","35,883",Tidemark offers a portfolio of next-generation enterprise performance management apps that provides analytics and forecasting solutions.,Closed,2009,For Profit,2017,http://twitter.com/TidemarkEPM,70,,,http://www.linkedin.com/company/tidemark-inc-,,http://www.facebook.com/TidemarkEPM,,,sales@tidemark.com,,,"Redwood City, California, United States",1-650-779-5160,"Tidemark offers a portfolio of next-generation enterprise performance management applications that provides analytics and forecasting across organizations. It offers three applications that provide users with real-time access to risk-adjusted data metrics, profitability modeling, and other tools for strategic, financial, and operational planning. Tidemark also offers Storylines, a SaaS product presenting structured and unstructured data in a series of infographic-like images giving users an interactive and detailed view of a company’s operations. Additionally, it integrates financial playbooks and predictive analytics functions to its software. The predictive analytics incorporates big data and social media information for use in forecasting and budgeting. Tidemark was founded by Christian Gheorghe, Tony Rizzo, and Nenshad Bardoliwalla in 2010 and is headquartered in Redwood City, California.",,http://www.tidemark.com,,"Data and Analytics, Internet Services, Software",,Private Equity,176,M&A,3,2016,Private Equity,8,,,,105370901,105370901,Was Acquired,5,Longview Solutions,https://www.crunchbase.com/organization/longview-solutions,,Acquisition,,2017,,Private,,,,,75000000,,8,,,,,,,,,,598698.3011,426136.3636,,,,,,"Analytics, Enterprise Software, Software",Technology & Software,,Establishment Labs,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,751,,1,,,8,332000000,50000000,50000000,290700000,530700000,,9,,,,,,,66900000,,,,,,363600159.3,75000000,14,14,-6,6.64,6.64,0.625588845,1.142070863,1.338,1.338,0.126059921,0.230134159,706657.7896,99866.84421,66577.89614,3571428.571,37907142.86,0.571428571,,7133.346015,Yes
Loot Financial Services,https://www.crunchbase.com/organization/loot-financial-services,$1M to $10M,"Apps, Banking, Finance, Financial Services, Payments","35,915",Loot Financial Services  is a banking and money management app for students.,Closed,2014,For Profit,,https://twitter.com/LootApp,2,,,https://www.linkedin.com/company/loot-bank/,,https://www.facebook.com/lootapps,,,info@loot.io,,,"London, England, United Kingdom",,"Loot Financial Services offers a one of a kind service. Combining a pre-paid Visa debit card and a budgeting app for your phone, you have all the tools you need to stay on top of your finances. No need to worry about manually entering all of your spends for the month - Loot takes care of it for you.",,https://loot.io,,"Apps, Financial Services, Lending and Investments, Payments, Software",,Series B,31,Early Stage Venture,2,2019,Series B,5,,2556890,2556890,10788635,10788635,,3,,,,,,,,Private,,,,,5500000,,,,,,,,,,,,348020.4839,177419.3548,82480.32258,,,,,"Financial Services, Banking, Payments",Financial Services & Fintech,,Pardes Biosciences,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,1,,,3,,75000000,75000000,126614997,126614997,,1,,,,,,,199000000,,,,,,,5500000,1,1,0,,,,,2.653333333,2.653333333,1.571693754,1.571693754,,,,75000000,126614997,3,,,Yes
E-Hentai,https://www.crunchbase.com/organization/e-hentai,,"Adult, Comics, Sex Industry","36,004",E-Hentai is an image-hosting and file-sharing website focused on hentai.,Closed,2008,For Profit,,,,,,,,,,,,,,"New York, New York, United States",,,,https://e-hentai.xxx/,,"Community and Lifestyle, Consumer Goods",,Series A,76,Early Stage Venture,,2021,Series A,2,,75000000,75000000,80000000,80000000,,,,,,,,,,Private,,,,,,,,,,,,,,,,,1052631.579,,986842.1053,,,,,"Adult, Comics, Sex Industry",Uncategorized,,Provention Bio,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,176,,2,,,7,,35000000,35000000,373500000,498500000,,5,,,,,,,63900000,,,,,,,750000000,2,2,-5,,,,,1.825714286,1.825714286,0.128184554,0.171084337,2832386.364,4261363.636,198863.6364,17500000,249250000,3.5,,2130681.818,Yes
Sellpoints,https://www.crunchbase.com/organization/sellpoint,$10M to $50M,"Advertising, Digital Media, E-Commerce, E-Commerce Platforms, Retail","36,009",Sellpoints is an e-commerce technology provider dedicated to helping brands and retailers sell more online.,Closed,2000,For Profit,2019,http://twitter.com/sellpoints,6,,,https://www.linkedin.com/company/sellpoints/,,http://www.facebook.com/sellpoints,,,info@sellpoints.com,,,"Emeryville, California, United States",(866) 343-4310,"Sellpoints is an e-commerce optimization platform that enables brands and retailers to engage consumers with targeted shopping experiences that help them make their desired purchase decision. Sellpoints enables brands to share their product stories on retail websites through interactive content experiences that engage, inform, and inspire shoppers. In addition, Sellpoints provides robust data and insights to help their clients make informed business decisions on how to optimize their product pages. The results are increased sales and a reduction in costly product returns. Sellpoints allows clients to fully enrich their SKUs with interactive content experiences that include marketing content such as videos, product tours, image galleries, 360 views, short animations, customer reviews, product comparison charts, and much more.",,http://www.sellpoints.com,,"Advertising, Commerce and Shopping, Internet Services, Media and Entertainment, Sales and Marketing",,Venture - Series Unknown,76,M&A,1,2015,Venture - Series Unknown,5,,7000000,7000000,19183992,22183992,"Made Acquisitions, Was Acquired",4,Syndigo,https://www.crunchbase.com/organization/syndigo,2,Acquisition,,2019,,Private,,,,,30000000,,19,,,,,,,,,,291894.6316,394736.8421,92105.26316,,,,,"E-Commerce, E-Commerce Platforms, Retail",Consumer Goods & Retail,,"Compass Therapeutics, Inc.",,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,76,,2,,,9,,80000000,80000000,380462210,381512210,,3,,,1,,,,,,,,,,,30000000,7,7,-1,,,,,,,,,5019897.5,394736.8421,1052631.579,11428571.43,54501744.29,1.285714286,,56390.97744,Yes
BioElements,https://www.crunchbase.com/organization/bioelements-2dcb,,"Biotechnology, CleanTech, GreenTech, Sustainability","36,040","BioElements is a biotech and circular economy company that produces sustainable bioplastic for packaging, films and bags.",Closed,2014,For Profit,,,10,,,https://www.linkedin.com/company/bioelements-group,,,,,contacto@bioelementsla.com,,,"Santiago, Region Metropolitana, Chile",,"BioElements aims to transform polluting products into environmentally friendly solutions. Specifically, it is developing an ecological alternative to conventional plastic. BioElements' bags, films, packaging and other rigid products have national and foreign certifications that place their effectiveness in the highest international standards.",,https://www.bioelementsla.com/,,"Biotechnology, Science and Engineering, Sustainability",,Series A,176,Early Stage Venture,2,2023,Series A,1,,30000000,30000000,30000000,30000000,,1,,,,,,,,Private,,,,,,,,,,,,,,,,,170454.5455,,170454.5455,,,,,"Sustainability, GreenTech, CleanTech",Technology & Software,,Centogene,,,,,,,,,,,81,,,,,,,,,,1,,,,,,1,,,,376,,1,,,6,277000000,30000000,16909982,149933433,224933433,,5,,,,,,,56000000,,,,,,297907704.3,75000000,13,13,-4,9.233333333,16.38085718,1.231475447,1.847486544,1.866666667,3.311653436,0.248962545,0.373499085,598227.2154,199468.0851,79787.23404,2307692.308,17302571.77,0.461538462,,15343.69885,Yes
Awok.com,https://www.crunchbase.com/organization/awok-com,$50M to $100M,"Consumer Electronics, Content Discovery, E-Commerce, Mobile, Shopping","36,180",Awok.com is a mass market e-commerce business offering affordable products in UAE and KSA with mobile centric approach.,Closed,2013,For Profit,,http://twitter.com/awokcom,16,,,https://www.linkedin.com/company/3565726?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3565726%2Cidx%3A1-1-1%2CtarId%3A1456385331547%2Ctas%3Aawok,,http://www.facebook.com/awok,,,pr@awok.com,,,"Dubai, Dubai, United Arab Emirates",-43603230,"Today AWOK.com has close to 700 employees with its own courier service fleet, which enables the company to keep control on the quality of service delivered to customers as well as timely delivery. The company sells its products in at least 120 countries through its cross border services and has its own fulfillment center and logistics. Offering approximately 70,000 products across 30 plus categories, the vision has always been to be the preferred E-Commerce channel across all locations that the company operates in, where customers are assured of affordable, effortless and seamless shopping experience. At Awok.com, we believe that in order to create the best shopping experience and deliver highest quality of customer satisfaction technology needs to exploited to the fullest. With this in mind we have built a reliable and scalable technology network and are constantly looking to innovate with the help of our highly skilled and creative team. ",,http://www.awok.com,,"Commerce and Shopping, Consumer Electronics, Content and Publishing, Hardware, Media and Entertainment, Mobile",,Series A,751,Early Stage Venture,1,2019,Series A,1,,30000000,30000000,30000000,30000000,,2,,,,,,,,Private,,,,,75000000,,,,,,,,,,,,39946.73768,99866.84421,39946.73768,,,,,"Mobile, E-Commerce, Shopping",Consumer Goods & Retail,,Spyre Therapeutics,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,76,,,,,2,,180000000,180000000,360000000,360000000,,,,,,,,,,,,,,,,5500000,3,3,-8,,,,,,,,,4736842.105,72368.42105,2368421.053,60000000,120000000,0.666666667,,24122.80702,Yes
